Year,GEO,"RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Seniors, 65 years and over, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada"
2007,Peer group A,28.5,10.2,28.5
2007,Peer group B,24.3,12.5,24.3
2007,Peer group C,22.6,16.2,22.6
2007,Peer group D,25.2,14.2,25.2
2007,Peer group E,21.7,16,21.7
2007,Peer group F,42.1,4.6,42.1
2007,Peer group G,20.7,14,20.7
2007,Peer group H,25.9,10.8,25.9
2007,"Perth District Health Unit, Ontario",26.1,14.9,26.1
2007,"Peterborough County-City Health Unit, Ontario",21.8,18.2,21.8
2007,"Porcupine Health Unit, Ontario",25.3,13.2,25.3
2007,"Prairie Mountain Health, Manitoba",25.6,17.7,25.6
2007,"Prairie North Regional Health Authority, Saskatchewan",31.5,12.1,31.5
2007,"Prince Albert Parkland Regional Health Authority, Saskatchewan",30.2,14.5,30.2
2007,Prince Edward Island,24.2,14.9,24.2
2007,Quebec,22.5,14.2,22.5
2007,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",25.4,13.7,25.4
2007,"Renfrew County and District Health Unit, Ontario",23.3,16.4,23.3
2007,"Richmond Health Service Delivery Area, British Columbia",21.8,12.5,21.8
2007,"Région de Lanaudière, Quebec",24.8,12.2,24.8
2007,"Région de Laval, Quebec",24.1,14.2,24.1
2007,"Région de Montréal, Quebec",20.6,15.1,20.6
2007,"Région de l'Abitibi-Témiscamingue, Quebec",24.4,13.2,24.4
2007,"Région de l'Estrie, Quebec",22.8,15,22.8
2007,"Région de l'Outaouais, Quebec",24.3,11.3,24.3
2007,"Région de la Capitale-Nationale, Quebec",19.9,15.6,19.9
2007,"Région de la Chaudière-Appalaches, Quebec",22.7,14.4,22.7
2007,"Région de la Côte-Nord, Quebec",23.9,12.3,23.9
2007,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",19.7,18,19.7
2007,"Région de la Mauricie et du Centre-du-Québec, Quebec",21.3,16.8,21.3
2007,"Région de la Montérégie, Quebec",24.3,12.8,24.3
2007,"Région des Laurentides, Quebec",24.6,12.4,24.6
2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",42.2,4.5,42.2
2007,"Région du Bas-Saint-Laurent, Quebec",20.7,17.1,20.7
2007,"Région du Nord-du-Québec, Quebec",25.2,8.3,25.2
2007,"Région du Nunavik, Quebec",46.4,3,46.4
2007,"Région du Saguenay - Lac-Saint-Jean, Quebec",21.9,15.1,21.9
2007,Saskatchewan,26.7,14.9,26.7
2007,"Saskatoon Regional Health Authority, Saskatchewan",25.6,13.3,25.6
2007,"Simcoe Muskoka District Health Unit, Ontario",24.9,14.5,24.9
2007,"South East Health Integration Network, Ontario",22.5,16.9,22.5
2007,"South Vancouver Island Health Service Delivery Area, British Columbia",19.5,17.6,19.5
2007,"South West Health Integration Network, Ontario",24.5,14.9,24.5
2007,"South Zone, Alberta",27,13.3,27
2007,"Southern Health, Manitoba",31.7,12.3,31.7
2007,"Sudbury and District Health Unit, Ontario",22.9,14.9,22.9
2007,"Sun Country Regional Health Authority, Saskatchewan",25.8,17.7,25.8
2007,"Sunrise Regional Health Authority, Saskatchewan",23,22.8,23
2007,"Thompson/Cariboo Health Service Delivery Area, British Columbia",22.9,15.8,22.9
2007,"Thunder Bay District Health Unit, Ontario",23.7,14.7,23.7
2007,"Timiskaming Health Unit, Ontario",22.6,17.8,22.6
2007,"Toronto Central Health Integration Network, Ontario",21.6,13.6,21.6
2007,"Vancouver Health Service Delivery Area, British Columbia",17.4,12.7,17.4
2007,"Waterloo Health Unit, Ontario",25.6,11.4,25.6
2007,"Waterloo Wellington Health Integration Network, Ontario",25.7,11.8,25.7
2007,"Wellington-Dufferin-Guelph Health Unit, Ontario",26.4,12.3,26.4
2007,"Western Regional Health Authority, Newfoundland and Labrador",21.1,16.1,21.1
2007,"Windsor-Essex County Health Unit, Ontario",25.2,13.1,25.2
2007,"Winnipeg Regional Health Authority, Manitoba",24,13.8,24
2007,"York Regional Health Unit, Ontario",26.7,10.2,26.7
2007,Yukon,25,7.3,25
2007,"Zone 1 (Moncton area), New Brunswick",21.3,14.8,21.3
2007,"Zone 1 - Western, Nova Scotia",21.6,17.6,21.6
2007,"Zone 2 (Saint John area), New Brunswick",23.9,14.5,23.9
2007,"Zone 2 - Northern, Nova Scotia",22.7,16.2,22.7
2007,"Zone 3 (Fredericton area), New Brunswick",23.5,13.8,23.5
2007,"Zone 3 - Eastern, Nova Scotia",22.4,17.5,22.4
2007,"Zone 4 (Edmundston area), New Brunswick",21.1,14.6,21.1
2007,"Zone 4 - Central, Nova Scotia",22.4,12.1,22.4
2007,"Zone 5 (Campbellton area), New Brunswick",20.2,18.5,20.2
2007,"Zone 6 (Bathurst area), New Brunswick",19.6,15.7,19.6
2007,"Zone 7 (Miramichi area), New Brunswick",22.2,15.9,22.2
2008,Alberta,25.4,10.4,25.4
2008,"Athabasca Health Authority, Saskatchewan",43.5,4.2,43.5
2008,"Brant County Health Unit, Ontario",25.5,14.1,25.5
2008,British Columbia,22.2,14.5,22.2
2008,"Calgary Zone, Alberta",24.6,9.3,24.6
2008,Canada,23.7,13.7,23.7
2008,"Central East Health Integration Network, Ontario",23.7,13.7,23.7
2008,"Central Health Integration Network, Ontario",24.5,11.8,24.5
2008,"Central Regional Health Authority, Newfoundland and Labrador",20.3,17.3,20.3
2008,"Central Vancouver Island Health Service Delivery Area, British Columbia",21,19.6,21
2008,"Central West Health Integration Network, Ontario",27.8,9.3,27.8
2008,"Central Zone, Alberta",26.6,12.8,26.6
2008,"Champlain Health Integration Network, Ontario",23.7,13.2,23.7
2008,"Chatham-Kent Health Unit, Ontario",24.3,16.1,24.3
2008,"City of Hamilton Health Unit, Ontario",23.9,14.8,23.9
2008,"City of Ottawa Health Unit, Ontario",23.7,12.3,23.7
2008,"City of Toronto Health Unit, Ontario",21.4,13.7,21.4
2008,"Cypress Regional Health Authority, Saskatchewan",24.6,18.9,24.6
2008,"District of Algoma Health Unit, Ontario",21,19.2,21
2008,"Durham Regional Health Unit, Ontario",27.1,10.8,27.1
2008,"East Kootenay Health Service Delivery Area, British Columbia",22.3,16.2,22.3
2008,"Eastern Ontario Health Unit, Ontario",24.3,15,24.3
2008,"Eastern Regional Health Authority, Newfoundland and Labrador",21.5,13.4,21.5
2008,"Edmonton Zone, Alberta",24.3,10.7,24.3
2008,"Erie St. Clair Health Integration Network, Ontario",24.5,14.7,24.5
2008,"Five Hills Regional Health Authority, Saskatchewan",23.4,19,23.4
2008,"Fraser East Health Service Delivery Area, British Columbia",26.3,14.4,26.3
2008,"Fraser North Health Service Delivery Area, British Columbia",22.7,11.8,22.7
2008,"Fraser South Health Service Delivery Area, British Columbia",25.7,12.4,25.7
2008,"Grey Bruce Health Unit, Ontario",22.3,18.8,22.3
2008,"Haldimand-Norfolk Health Unit, Ontario",24.2,16,24.2
2008,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",21.2,20.3,21.2
2008,"Halton Regional Health Unit, Ontario",26.3,12.4,26.3
2008,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",23.7,15.7,23.7
2008,"Hastings and Prince Edward Counties Health Unit, Ontario",22.6,17.7,22.6
2008,"Heartland Regional Health Authority, Saskatchewan",25.3,18.7,25.3
2008,"Huron County Health Unit, Ontario",24.8,18.1,24.8
2008,"Interlake-Eastern Regional Health Authority, Manitoba",26.9,14.8,26.9
2008,"Keewatin Yatthé Regional Health Authority, Saskatchewan",42.3,5.8,42.3
2008,"Kelsey Trail Regional Health Authority, Saskatchewan",26.3,19.5,26.3
2008,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",22.2,15.8,22.2
2008,"Kootenay-Boundary Health Service Delivery Area, British Columbia",21.1,17.5,21.1
2008,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",25.5,9.3,25.5
2008,"Lambton Health Unit, Ontario",23.2,17,23.2
2008,"Leeds, Grenville and Lanark District Health Unit, Ontario",22.7,17.3,22.7
2008,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",44.4,4.8,44.4
2008,"Mamawetan/Keewatin/Athabasca, Saskatchewan",43.7,5.1,43.7
2008,Manitoba,26.4,13.8,26.4
2008,"Middlesex-London Health Unit, Ontario",24,13.7,24
2008,"Mississauga Halton Health Integration Network, Ontario",26.2,10.6,26.2
2008,New Brunswick,22,15.1,22
2008,Newfoundland and Labrador,21.5,14.3,21.5
2008,"Niagara Regional Area Health Unit, Ontario",22.8,17.3,22.8
2008,"North Bay Parry Sound District Health Unit, Ontario",21.4,17.8,21.4
2008,"North East Health Integration Network, Ontario",22.3,16.6,22.3
2008,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",22.2,15.4,22.2
2008,"North Simcoe Muskoka Health Integration Network, Ontario",24.3,15.4,24.3
2008,"North Vancouver Island Health Service Delivery Area, British Columbia",22.5,16.3,22.5
2008,"North West Health Integration Network, Ontario",25,14.4,25
2008,"North Zone, Alberta",29.2,8.5,29.2
2008,"Northeast Health Service Delivery Area, British Columbia",28.7,8.2,28.7
2008,"Northern Interior Health Service Delivery Area, British Columbia",26,10.7,26
2008,"Northern Regional Health Authority, Manitoba",39.9,5.6,39.9
2008,"Northwest Health Service Delivery Area, British Columbia",28.2,10.4,28.2
2008,Northwest Territories,30.5,5,30.5
2008,"Northwestern Health Unit, Ontario",28.3,12.9,28.3
2008,Nova Scotia,22,15.3,22
2008,Nunavut,42.9,2.9,42.9
2008,"Okanagan Health Service Delivery Area, British Columbia",21,20.4,21
2008,Ontario by Health Unit,24.2,13.5,24.2
2008,Ontario by Local Health Integration Network,24.2,13.5,24.2
2008,"Oxford Elgin St. Thomas Health Unit, Ontario ",25.8,14.8,25.8
2008,"Peel Regional Health Unit, Ontario",27.6,9.2,27.6
2008,Peer group A,28.1,10.3,28.1
2008,Peer group B,24.1,12.6,24.1
2008,Peer group C,22.3,16.6,22.3
2008,Peer group D,25,14.5,25
2008,Peer group E,21.3,16.4,21.3
2008,Peer group F,41.9,4.7,41.9
2008,Peer group G,20.6,14.1,20.6
2008,Peer group H,25.6,11,25.6
2008,"Perth District Health Unit, Ontario",25.9,15.2,25.9
2008,"Peterborough County-City Health Unit, Ontario",21.5,18.5,21.5
2008,"Porcupine Health Unit, Ontario",25,13.5,25
2008,"Prairie Mountain Health, Manitoba",25.4,17.6,25.4
2008,"Prairie North Regional Health Authority, Saskatchewan",31.3,11.9,31.3
2008,"Prince Albert Parkland Regional Health Authority, Saskatchewan",30,14.4,30
2008,Prince Edward Island,23.9,15.1,23.9
2008,Quebec,22.4,14.6,22.4
2008,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",25.2,13.7,25.2
2008,"Renfrew County and District Health Unit, Ontario",22.8,16.7,22.8
2008,"Richmond Health Service Delivery Area, British Columbia",21.5,12.6,21.5
2008,"Région de Lanaudière, Quebec",24.6,12.6,24.6
2008,"Région de Laval, Quebec",24.1,14.5,24.1
2008,"Région de Montréal, Quebec",20.6,15.2,20.6
2008,"Région de l'Abitibi-Témiscamingue, Quebec",24.2,13.6,24.2
2008,"Région de l'Estrie, Quebec",22.6,15.5,22.6
2008,"Région de l'Outaouais, Quebec",24.1,11.6,24.1
2008,"Région de la Capitale-Nationale, Quebec",19.8,16,19.8
2008,"Région de la Chaudière-Appalaches, Quebec",22.6,14.9,22.6
2008,"Région de la Côte-Nord, Quebec",23.6,12.7,23.6
2008,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",19.4,18.5,19.4
2008,"Région de la Mauricie et du Centre-du-Québec, Quebec",21.1,17.2,21.1
2008,"Région de la Montérégie, Quebec",24.2,13.2,24.2
2008,"Région des Laurentides, Quebec",24.4,12.9,24.4
2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",42.3,4.6,42.3
2008,"Région du Bas-Saint-Laurent, Quebec",20.2,17.6,20.2
2008,"Région du Nord-du-Québec, Quebec",24.8,8.8,24.8
2008,"Région du Nunavik, Quebec",45.7,3.1,45.7
2008,"Région du Saguenay - Lac-Saint-Jean, Quebec",21.6,15.6,21.6
2008,Saskatchewan,26.5,14.8,26.5
2008,"Saskatoon Regional Health Authority, Saskatchewan",25.4,13.2,25.4
2008,"Simcoe Muskoka District Health Unit, Ontario",24.6,14.9,24.6
2008,"South East Health Integration Network, Ontario",22.2,17.3,22.2
2008,"South Vancouver Island Health Service Delivery Area, British Columbia",19.1,17.7,19.1
2008,"South West Health Integration Network, Ontario",24.2,15.2,24.2
2008,"South Zone, Alberta",26.9,13.3,26.9
2008,"Southern Health, Manitoba",31.7,12.3,31.7
2008,"Sudbury and District Health Unit, Ontario",22.6,15.2,22.6
2008,"Sun Country Regional Health Authority, Saskatchewan",25.6,17.3,25.6
2008,"Sunrise Regional Health Authority, Saskatchewan",23,22.4,23
2008,"Thompson/Cariboo Health Service Delivery Area, British Columbia",22.4,16.2,22.4
