Year,GEO,RATE_Chained (2012) dollars#Social assistance [624]#Dollars#millions#36100402_StatsCanada,RATE_Chained (2012) dollars#Community colleges and C.E.G.E.P.s [6112]#Dollars#millions#36100402_StatsCanada
2013,Manitoba,476.2,188.9
2013,New Brunswick,159.8,118.1
2013,Newfoundland and Labrador,136.5,187.8
2013,Northwest Territories,25.9,36.9
2013,Nova Scotia,233.1,153.9
2013,Nunavut,32.8,26.2
2013,Ontario,4800.1,2831.6
2013,Prince Edward Island,65.4,32.5
2013,Quebec,3597.2,2310.3
2013,Saskatchewan,344.4,271.6
2013,Yukon,46.5,29.4
2014,Alberta,1372.5,1073.9
2014,British Columbia,1453.9,1043.1
2014,Manitoba,496.3,193.2
2014,New Brunswick,155.2,115.3
2014,Newfoundland and Labrador,134.6,176.5
2014,Northwest Territories,25.2,36.9
2014,Nova Scotia,236.3,152.1
2014,Nunavut,33.9,26
2014,Ontario,5046.6,2901.3
2014,Prince Edward Island,70.6,32.7
2014,Quebec,3658.7,2313.4
2014,Saskatchewan,344.5,283.1
2014,Yukon,46.2,30.3
2015,Alberta,1456.5,1082.8
2015,British Columbia,1468.7,1031.1
2015,Manitoba,520.2,193.3
2015,New Brunswick,166.9,112
2015,Newfoundland and Labrador,138.1,176.2
2015,Northwest Territories,27.7,35.1
2015,Nova Scotia,235.6,150.1
2015,Nunavut,34.7,26
2015,Ontario,4992.3,2858.2
2015,Prince Edward Island,67.7,32.3
2015,Quebec,3462.4,2291.3
2015,Saskatchewan,342.3,278.9
2015,Yukon,45.9,29.5
2016,Alberta,1520.7,1052.5
2016,British Columbia,1548.1,1041.5
2016,Manitoba,536,187.8
2016,New Brunswick,182.7,114.7
2016,Newfoundland and Labrador,152.5,172.4
2016,Northwest Territories,28.5,33.9
2016,Nova Scotia,249.1,153.8
2016,Nunavut,35,26
2016,Ontario,5269,2848.7
2016,Prince Edward Island,72,33.4
2016,Quebec,3570.8,2284.1
2016,Saskatchewan,364.1,276.6
2016,Yukon,46.4,29.6
2017,Alberta,1518.9,1096.9
2017,British Columbia,1615.7,1110.7
2017,Manitoba,563.6,190.9
2017,New Brunswick,194.7,117.8
2017,Newfoundland and Labrador,159.6,168.7
2017,Northwest Territories,29.8,34.7
2017,Nova Scotia,255.9,153.7
2017,Nunavut,35.3,26.1
2017,Ontario,5290.2,3016
2017,Prince Edward Island,73.8,33.5
2017,Quebec,3589.4,2386.7
2017,Saskatchewan,366.4,278.1
2017,Yukon,46.9,30.3
2018,Alberta,1606.6,1111.4
2018,British Columbia,1707.8,1146
2018,Manitoba,594.8,197.6
2018,New Brunswick,203.6,117.8
2018,Newfoundland and Labrador,163.7,168.4
2018,Northwest Territories,30.5,35.2
2018,Nova Scotia,269.4,154.9
2018,Nunavut,37,27
2018,Ontario,5575,3098.6
2018,Prince Edward Island,77.9,35.2
2018,Quebec,3782.6,2367.6
2018,Saskatchewan,385.6,282.5
2018,Yukon,48.1,31.2
2019,Alberta,1728.2,1139.1
2019,British Columbia,1828.4,1165.2
2019,Manitoba,619.5,202.3
2019,New Brunswick,219,120.6
2019,Newfoundland and Labrador,170.2,169.2
2019,Northwest Territories,32.3,38
2019,Nova Scotia,287.6,157.6
2019,Nunavut,40,27.7
2019,Ontario,5868,3165.9
2019,Prince Edward Island,81.9,36.5
2019,Quebec,3894,2433.3
2019,Saskatchewan,413.3,290.7
2019,Yukon,50.5,32.5
